Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity
Centuries,Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,78,"emo, modern rock, pop, rock",228360,2015-01-16,82
Shadows,Au Revoir Simone,spotify:artist:0X0TajZO1RmY3D8u1JymYq,32,brooklyn indie,242973,2009-05-19,24
Friday Night,The Last Royals,spotify:artist:5IdTPFXrveWkm5GNFJa9fw,20,stomp and whittle,228746,2013-01-01,20
My Chick Bad,Ludacris,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,75,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",216933,2010-01-01,66
Despite What You've Been Told,Two Gallants,spotify:artist:38umPQJRH11dxydNwq8yGP,29,bay area indie,269160,2007-09-25,0
Eyes of the Muse,King Tuff,spotify:artist:0uI2HyW0eIbTbyH3S2XDHI,36,"garage pop, garage rock, indie garage rock, indie punk, neo-psychedelic, noise pop",254946,2014-09-23,0
Lightning Crashes,Live,spotify:artist:6eoJpTIlcuxJNjV5fDzDJH,60,"grunge, pop rock, post-grunge",324733,2004-01-01,43
In Da Club,50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,81,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",193466,2003-02-06,76
The Epilogue,✝✝✝ (Crosses),spotify:artist:3gPZCcrc8KG2RuVl3rtbQ2,50,electronic rock,235773,2014-02-11,0
Summer in the City - Remastered,The Lovin' Spoonful,spotify:artist:7CCn4PFRRRZF127jtCBAUe,55,"classic rock, country rock, folk, folk rock, mellow gold, psychedelic rock, rock-and-roll, soft rock",160306,1966-11,66
In The Air Tonight,Phil Collins,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,74,"rock drums, soft rock",333120,1981-01-01,0
Rise,Public Image Ltd.,spotify:artist:70MMkLXtue3Edj3RJhJkYp,42,"alternative rock, britpop, new romantic, new wave, post-punk, punk, uk post-punk",378360,1987-04-07,43
Floating Vibes,Surfer Blood,spotify:artist:0IlQRCafsMrd0QkTRBU6n0,29,"indie rock, indie surf, noise pop",234496,2010-01-19,0
Harper Valley P.T.A.,Jeannie C. Riley,spotify:artist:3MIwMeYV8vmgQFbbRiJTp2,41,classic country pop,194400,2013-09-30,54
When Worlds Collide,Powerman 5000,spotify:artist:5imUS9dQyCbAjUEJJ9QyWC,52,"alternative metal, funk metal, industrial metal, nu metal, rap metal",177960,1999-01-01,69
I'll Be Around,Yo La Tengo,spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi,50,"alternative rock, art pop, dream pop, indie rock, indietronica, lo-fi, new jersey indie, noise pop, permanent wave, shoegaze",287106,2013-01-14,0
Celebrity Skin,Hole,spotify:artist:5SHQUMAmEK5KmuSb0aDvsn,60,"alternative rock, grunge, riot grrrl",162666,1998-01-01,72
La Grange - 2005 Remaster,ZZ Top,spotify:artist:2AM4ilv6UzW0uMRuqKtDgN,68,"album rock, blues rock, classic rock, hard rock, rock",230480,1973-07-26,51
Insane in the Brain,Cypress Hill,spotify:artist:4P0dddbxPil35MNN9G2MEX,65,"chicano rap, gangster rap, hip hop, rap rock, west coast rap",208266,1993-07-20,74
The Book of Love,The Magnetic Fields,spotify:artist:6RWjTQqILL7a1tQ0VapyLK,53,"alternative rock, chamber pop, lo-fi, melancholia, metropopolis, permanent wave, tape club",162413,1999-09-14,0
Do You Call My Name,Ra,spotify:artist:4qrdhnXBOzRt9OSmL29IFO,40,"alternative metal, nu metal, post-grunge",317160,2002-01-01,55
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),Juicy J,spotify:artist:5gCRApTajqwbnHHPbr2Fpi,71,"crunk, memphis hip hop, pop rap, rap, southern hip hop, trap",278826,2013-08-23,65
Young And Beautiful,Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,89,"art pop, pop",236053,2013-01-01,87
No Waves,FIDLAR,spotify:artist:3P6duIn7oHeiBACZfYeNud,48,"indie garage rock, noise pop",136026,2013-01-22,0
Hypnotic,Zella Day,spotify:artist:100sLnojEpcadRx4edEBA6,53,"alt z, electropop, gauze pop, indie poptimism",176786,2015-01-01,63
BEER!!!,Psychostick,spotify:artist:2kfVqdz3lJshqH9GUHhtMr,43,"comic, comic metal, funk rock",135560,2006-08-01,0
I Say Fever,Ramona Falls,spotify:artist:1mokjdCi7WgljE0iTp8SSR,21,portland indie,267813,2009,0
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,spotify:artist:0NKDgy9j66h3DLnN8qu1bB,67,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop",216933,1983-01-04,86
Such Great Heights,The Postal Service,spotify:artist:5yV1qdnmxyIYiSFB02wpDj,52,"chamber pop, indie rock, indietronica, seattle indie",266346,2003-02-19,0
I Want to Know What Love Is - 1999 Remaster,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,67,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",304786,1984-12-12,82
I'll Stand by You,Pretenders,spotify:artist:0GByy3DcfbQwDvXGCWmzv9,60,"album rock, classic rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, rock, soft rock",240760,1994-06-01,72
Mr. Brightside,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,75,"alternative rock, dance rock, modern rock, permanent wave, rock",222586,2004-06-15,2
Savior,Rise Against,spotify:artist:6Wr3hh341P84m3EI8qdn9O,69,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, post-grunge, punk",242280,2008-01-01,64
Sweet Dreams (Are Made Of This),Marilyn Manson,spotify:artist:2VYQTNDsvvKN9wmU5W7xpj,68,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",291440,2004-01-01,49
Linchpin,Fear Factory,spotify:artist:74Hj7BmnUXyx2udrIEIKwX,51,"alternative metal, groove metal, industrial metal, metal, nu metal, rap metal",204853,2001-04-16,58
Dystopia (The Earth Is On Fire),YACHT,spotify:artist:57anmI1X2hXWPrNagFdzZr,36,"ai, alternative dance, chillwave, dance-punk, indietronica, neo-synthpop, new rave",241066,2011-06-21,0
